Germany,English
ich,I
sie,she
das,the
ist,is
du,you
nicht,not
die,the
es,it
und,and
der,the
wir,we
was,What
zu,to
er,he
ein,a
in,in
ja,Yes
mir,me
mit,with
wie,How
den,the
mich,me
auf,on
dass,that
aber,but
eine,one
so,so
hat,has
hier,here
haben,have
für,for
sind,are
war,was
von,from
dich,you
ihr,her
nein,no
habe,have
bin,am
noch,still
nur,only
da,there
dir,you
sich,itself
einen,a
uns,us
hast,have
dem,dem
kann,can
gut,good
auch,also
schon,already
als,as
sein,be
mal,just
jetzt,now
ihn,him
dann,then
aus,out of
meine,mine
um,around
im,in the
wird,becomes
mein,my
bist,are
doch,but
alles,everything
weiß,white
keine,no
oder,or
nach,after
nichts,nothing
man,man
muss,must
werden,become
will,want
ihnen,them
geht,goes
wo,where
etwas,something
oh,Oh
mehr,more
bei,at
also,so
bitte,please
immer,always
hab,have
warum,Why
vor,before
los,Come on
wieder,again
sagen,say
machen,make
danke,Thanks
sehr,very
alle,all
denn,because
mann,man
tun,do
ihm,him
zum,for the
gehen,go
sehen,see
vielleicht,perhaps
einem,a
wer,who
ihre,her
diese,this
euch,you
einer,one
komm,come
über,above
gibt,gives
okay,OK
wissen,knowledge
deine,your
müssen,must
soll,should
werde,become
nie,never
wirklich,really
hey,hey
kein,no
viel,much
weg,away
würde,would
tut,does
am,at the
des,of
einfach,simply
leben,life
hatte,had
zeit,time
weil,because
kommen,come
dein,your
heute,today
kommt,comes
wollen,want
damit,with it
ganz,quite
wäre,were
wollte,wanted
weißt,white
ok,OK
sicher,secure
gesagt,said
frau,woman
nun,so
bis,until
wurde,became
leid,sorrow
na,
kannst,can
dieser,this
zurück,back
lassen,let
hallo,Hello
meinen,mean
gott,God
seine,his
hätte,would have
zwei,two
könnte,could
genau,Exactly
waren,were
zur,to
lass,let
klar,clear
morgen,morning
leute,people
vater,father
schön,nice
glaube,believe
mr.,mr.
ab,away
gerade,straight
tag,Day
gesehen,seen
reden,talk
wohl,probably
liebe,love
sollte,should
sagte,said
unsere,our
jemand,someone
geld,money
durch,through
ob,if
keinen,no
mutter,mother
raus,out
gemacht,made
paar,couple
mach,make
passiert,happened
dachte,thought
besser,better
musst,must
wieso,how come
sir,sir
dieses,this
selbst,himself
gehört,heard
möchte,want
ohne,without
her,from
sag,say
meiner,mine
anderen,others
helfen,help
nacht,night
finden,find
diesen,this
gute,good
wirst,become
lange,long
natürlich,naturally
ach,Oh
meinem,my
gar,even
ins,into the
sei,be
dort,there
weiter,further
geben,give
seit,since
gleich,even
sagt,says
recht,right
ihren,your
richtig,correct
ordnung,order
vom,from the
hören,hear
sieht,sees
davon,of that
dafür,for that
geh,walk
diesem,this
wegen,because of
hause,home
sollten,should
mädchen,girl
hin,there
sollen,should
abend,evening
haus,a house
denke,think
viele,many
drei,three
deinen,yours
freund,friend
guten,good
unser,our
warte,wait
machst,do
menschen,people
essen,eat
angst,fear
bleiben,remain
zusammen,together
welt,world
unter,under
habt,have
schnell,fast
andere,other
tot,dead
getan,did
darf,may
erst,first
rein,pure
stimmt,true
nehmen,take
eines,one
glauben,believe
bringen,bring
ganze,whole
genug,enough
scheiße,Fuck
brauchen,need
gegen,against
junge,boy
steht,stands
sonst,otherwise
musik,music
arbeit,work
seid,are
ihrer,of their
fragen,questions
herr,Mr
heißt,is called
familie,family
warten,wait
niemand,no one
sofort,immediately
bevor,before
jahre,years
einmal,once
problem,problem
sohn,son
wann,When
brauche,need
fertig,complete
halt,stop
allein,alone
sprechen,speak
beide,both
gefunden,found
hatten,had
sache,matter
hilfe,help
verdammt,damned
ne,ne
jeder,everyone
warst,beings
gern,gladly
konnte,could
halten,hold
siehst,see
verstehe,understand
jahren,years
kam,came
kind,child
wusste,knew
wahr,true
seinen,his
dazu,in addition
bruder,brother
daran,to it
ihrem,hers
denken,think
könnten,might
dank,thanks to
würden,would
lieber,Dear
fall,case
deiner,yours
sehe,see
egal,doesn't matter
kennen,know
deinem,yours
vergessen,forget
frage,ask
mache,make
komme,come
sage,legend
sieh,see
echt,Really
gib,give
eigentlich,actually
jeden,every
dad,dad
gab,gave
uhr,clock
stadt,city
männer,men
fahren,drive
namen,names
kopf,head
hi,Hi
gehe,go
kleine,small
später,later
glück,happiness
letzte,last
freunde,friends
n,n
all,Alles
ende,end
dr.,Dr.
bald,soon
töten,kill
dinge,things
meinst,mean
toll,Great
eins,one
minuten,minute
vielen,many
bereit,ready
weit,far
ahnung,idea
seiner,his
bisschen,a little
tür,door
auto,automobile
jungs,guys
eure,your
augen,eyes
polizei,police
sterben,die
hätten,have
draußen,outside
kenne,know
fast,nearly
runter,down
vorbei,over
treffen,meet
gerne,gladly
dran,your turn
wurden,became
arbeiten,work
mom,mom
verrückt,crazy
neue,new
ging,went
hinter,behind
sorgen,care for
einzige,only
darum,therefore
tochter,daughter
braucht,needs
idee,idea
schwester,sister
drin,in it
ruhig,quiet
sah,saw
ganzen,entire
spät,late
ziemlich,quite
solltest,should
name,Surname
sogar,even
kurz,short
kerl,Guy
frauen,women
liegt,lies
suchen,seek
finde,find
je,ever
woher,from where
lang,long
job,job
keiner,none
seinem,his
hört,hear
verstehen,understand
spielen,play
s.,s.
überhaupt,at all
teufel,devil
verstanden,understood
verloren,lost
große,size
hand,hand
jahr,year
kommst,come
mama,mummy
ruhe,quiet
gewesen,been
tod,death
stunden,hours
hoffe,hope
denkst,thinking
oben,above
gestern,yesterday
versuchen,attempt
art,kind
letzten,last
schatz,treasure
endlich,finally
he,hey
nimm,take
etwa,approximately
erzählt,told
läuft,running
schwer,difficult
anders,different
miss,miss
musste,had to
fünf,five
wasser,water
lässt,leaves
erste,first
versucht,tried
gekommen,came
wenig,few
holen,fetch
bedeutet,means
nett,kind
wahrheit,truth
woche,week
bringt,brings
deshalb,for this reason
welche,which
bestimmt,certainly
hoch,high
alter,age
sagst,say
schau,look
ah,uh
land,country
zimmer,room
wagen,dare
vier,four
gefallen,fallen
spaß,fun
niemals,never
schuld,fault
getötet,killed
wollten,wanted to
verlassen,leave
zeigen,show
beste,best
ernst,serious
unserer,ours
denen,whom
ort,location
bleibt,remains
würdest,would
manchmal,sometimes
seite,page
lasst,leaves
zwischen,between
eben,even
spiel,game
nehme,take
ersten,first
guter,goods
chance,chance
freundin,girlfriend
krieg,war
gefällt,pleases
kleinen,small
erzählen,tell
anderes,other
tage,days
entschuldigen,excuse
